geneid	SRR10379721	SRR10379722	SRR10379723	SRR10379724	SRR10379725	SRR10379726
gene-SAOUHSC_00243	220	72	152	65	43	0
gene-SAOUHSC_00244	952	559	871	312	410	16
gene-SAOUHSC_00245	88	71	45	69	80	25
gene-SAOUHSC_00246	2576	2223	1402	1546	1258	138
gene-SAOUHSC_00247	812	606	524	483	749	123
gene-SAOUHSC_00248	1733	1536	1237	1148	1648	749
gene-SAOUHSC_00249	475	295	319	271	313	24
gene-SAOUHSC_00250	382	227	278	224	289	14
gene-SAOUHSC_00251	143	85	101	125	122	8
gene-SAOUHSC_00253	1894	1086	1522	652	669	32
gene-SAOUHSC_00254	88	61	71	79	57	3
gene-SAOUHSC_00255	460	241	334	183	197	22
gene-SAOUHSC_00256	1763	1264	1296	980	1205	413
gene-SAOUHSC_00257	4064	3776	2601	2305	3005	1728
gene-SAOUHSC_00258	3602	2740	2604	1004	1074	83
gene-SAOUHSC_00259	661	377	513	136	114	7
gene-SAOUHSC_00260	12	12	13	6	7	0
gene-SAOUHSC_00261	216	117	139	105	126	5
gene-SAOUHSC_00262	1415	840	931	720	731	118
gene-SAOUHSC_00264	107	59	73	70	80	11
gene-SAOUHSC_00265	129	82	67	88	68	56
gene-SAOUHSC_00266	207	110	133	104	131	16
gene-SAOUHSC_00267	92	66	61	61	70	21
gene-SAOUHSC_00268	2188	1673	1521	2900	4242	1459
gene-SAOUHSC_00269	1433	970	1025	3456	5267	511
gene-SAOUHSC_00270	184	115	138	315	462	51
gene-SAOUHSC_00271	130	69	56	210	357	29
gene-SAOUHSC_00272	1341	609	885	478	276	22
gene-SAOUHSC_00274	109	61	53	98	109	17
gene-SAOUHSC_00275	200	156	135	225	446	41
gene-SAOUHSC_00276	155	143	104	177	366	23
gene-SAOUHSC_00277	175	155	129	210	447	56
gene-SAOUHSC_00278	154	64	86	137	203	26
gene-SAOUHSC_00279	1943	1273	1632	607	772	52
gene-SAOUHSC_00280	2667	1579	2093	889	1032	201
gene-SAOUHSC_00281	669	513	511	2553	5231	929
gene-SAOUHSC_00282	9564	6279	4099	12505	13512	1715
gene-SAOUHSC_00284	557	310	359	342	422	41
gene-SAOUHSC_00285	3870	4670	3114	7536	10628	1283
gene-SAOUHSC_00287	3872	4064	2855	7018	10413	2831
gene-SAOUHSC_00289	11	11	10	2	1	0
gene-SAOUHSC_00290	4425	3315	3375	4027	6302	1207
gene-SAOUHSC_00291	223	182	108	429	1073	101
gene-SAOUHSC_00292	408	321	252	544	1276	231
gene-SAOUHSC_00293	909	548	499	753	1213	150
gene-SAOUHSC_00294	3667	3768	2426	1739	1200	208
gene-SAOUHSC_00295	1853	2326	1342	1544	1115	192
gene-SAOUHSC_00296	1166	1068	839	1046	1782	518
gene-SAOUHSC_00297	1301	959	685	2305	3430	685
gene-SAOUHSC_00298	2663	2296	1788	1043	1247	278
gene-SAOUHSC_00299	481	304	293	426	863	59
gene-SAOUHSC_00300	72090	62318	51575	44512	60459	23570
gene-SAOUHSC_00301	1391	920	896	1497	1787	308
gene-SAOUHSC_00302	890	514	602	1089	1467	275
gene-SAOUHSC_00303	45	24	31	38	68	5
gene-SAOUHSC_00304	468	312	232	425	539	112
gene-SAOUHSC_00305	190	142	111	141	231	37
gene-SAOUHSC_00306	470	357	256	362	408	76
gene-SAOUHSC_00307	592	405	289	388	536	135
gene-SAOUHSC_00308	769	508	430	448	751	170
gene-SAOUHSC_00309	3350	3252	2083	8302	8968	3314
gene-SAOUHSC_00310	2274	2834	1584	2084	1474	321
gene-SAOUHSC_00311	319	500	257	427	267	110
gene-SAOUHSC_00312	568	835	381	741	405	87
gene-SAOUHSC_00313	1952	2990	1491	5691	2330	523
gene-SAOUHSC_00314	10123	8116	5926	4299	5016	515
gene-SAOUHSC_00315	5428	4455	3125	581	575	46
gene-SAOUHSC_00316	2129	1516	1383	351	401	29
gene-SAOUHSC_00317	4210	3163	2659	4070	9105	1861
gene-SAOUHSC_00318	850	851	754	1311	2485	586
gene-SAOUHSC_00319	2501	1990	2051	2491	4374	1463
gene-SAOUHSC_00320	1658	1239	1209	1269	2028	308
gene-SAOUHSC_00322	312	230	184	697	598	114
gene-SAOUHSC_00323	117	67	82	67	71	48
gene-SAOUHSC_00324	564	428	345	2950	7555	1216
gene-SAOUHSC_00325	290	157	167	236	586	29
gene-SAOUHSC_00326	654	454	467	322	732	226
gene-SAOUHSC_00327	1353	771	952	491	824	117
gene-SAOUHSC_00328	1486	1230	930	2787	5753	879
gene-SAOUHSC_00329	723	559	376	1397	3480	488
gene-SAOUHSC_00330	897	560	438	2094	5129	222
gene-SAOUHSC_00331	183	139	167	77	155	16
gene-SAOUHSC_00332	1256	867	1071	563	728	74
gene-SAOUHSC_00333	2719	1801	2288	995	1379	218
gene-SAOUHSC_00334	3758	2296	2911	2194	2632	265
gene-SAOUHSC_00335	784	483	546	1849	2494	99
gene-SAOUHSC_00336	7718	7298	5542	11190	10419	3730
gene-SAOUHSC_00337	5975	3483	3555	2407	3288	946
gene-SAOUHSC_00338	10575	6236	6674	4376	8059	895
gene-SAOUHSC_00339	4467	2803	2918	2698	5281	786
gene-SAOUHSC_00340	1909	1377	1209	1673	3317	653
gene-SAOUHSC_00341	1549	1273	1139	2179	4172	465
gene-SAOUHSC_00342	447	318	296	1141	1544	270
gene-SAOUHSC_00344	1933	1678	1850	1471	2331	465
gene-SAOUHSC_00345	687	673	692	579	1184	61
gene-SAOUHSC_00346	5125	4538	4715	4393	6542	1236
gene-SAOUHSC_00347	41572	22242	29931	1570	835	27
gene-SAOUHSC_00348	48254	44100	43444	24438	30752	5385
gene-SAOUHSC_00349	81337	74370	77019	39067	47870	20472
gene-SAOUHSC_00350	39796	36276	37807	18640	23249	12085
gene-SAOUHSC_00351	244	182	215	381	730	44
gene-SAOUHSC_00352	120	86	87	140	306	67
gene-SAOUHSC_00353	84	83	79	120	239	23
gene-SAOUHSC_00354	1062	609	729	1003	1610	114
gene-SAOUHSC_00355	173	117	140	99	258	10
gene-SAOUHSC_00356	16166	16707	12309	59483	72880	14470
gene-SAOUHSC_00357	3103	2063	1760	3503	6031	305
gene-SAOUHSC_00358	27130	28742	14590	108280	125051	77408
gene-SAOUHSC_00359	849	616	675	333	527	54
gene-SAOUHSC_00360	492	432	361	944	1357	156
gene-SAOUHSC_00362	2169	1392	1660	1874	2611	246
gene-SAOUHSC_00363	151	107	100	437	460	10
gene-SAOUHSC_00364	89003	77584	60724	32326	55625	10191
gene-SAOUHSC_00365	33074	29502	23519	15690	29144	4206
gene-SAOUHSC_00366	5820	5227	5236	4745	5102	1760
gene-SAOUHSC_00367	16804	11354	14580	1538	1469	647
gene-SAOUHSC_00368	86	58	52	39	46	6
gene-SAOUHSC_00369	12389	8495	9585	9145	11222	3982
gene-SAOUHSC_00370	4149	4023	2780	9111	14632	1336
gene-SAOUHSC_00371	11183	10671	6024	22736	22071	2820
gene-SAOUHSC_00372	1223	552	988	1604	2101	322
gene-SAOUHSC_00373	4039	2399	3162	4260	6007	1464
gene-SAOUHSC_00374	10722	7318	8734	15815	28277	8820
gene-SAOUHSC_00375	16509	10644	12559	23352	34604	10896
gene-SAOUHSC_00376	722	553	595	356	489	29
gene-SAOUHSC_00377	175	131	157	121	129	7
gene-SAOUHSC_00378	64	37	68	17	26	1
gene-SAOUHSC_00380	103	58	105	147	205	17
gene-SAOUHSC_00381	393	278	262	256	355	27
gene-SAOUHSC_00382	860	662	554	579	790	101
gene-SAOUHSC_00383	1734	1463	1331	783	1155	112
gene-SAOUHSC_00384	548	365	327	241	302	46
gene-SAOUHSC_00386	581	379	503	181	238	47
gene-SAOUHSC_00387	2	4	1	1	1	0
gene-SAOUHSC_00389	199	129	118	121	147	24
gene-SAOUHSC_00390	418	201	256	160	159	4
gene-SAOUHSC_00391	392	234	238	153	213	39
gene-SAOUHSC_00392	611	356	469	412	468	37
gene-SAOUHSC_00393	371	180	209	165	174	14
gene-SAOUHSC_00394	295	166	234	148	183	11
gene-SAOUHSC_00395	714	401	581	335	493	14
gene-SAOUHSC_00396	56	26	30	17	23	0
gene-SAOUHSC_00397	599	409	379	1857	1921	601
gene-SAOUHSC_00398	387	250	313	695	819	276
gene-SAOUHSC_00399	166	149	105	176	215	9
gene-SAOUHSC_00400	1210	911	736	889	1075	192
gene-SAOUHSC_00401	6686	5079	3330	4423	3355	309
gene-SAOUHSC_00402	167	106	148	214	307	24
gene-SAOUHSC_00404	318	219	312	278	326	52
gene-SAOUHSC_00405	667	408	612	871	1417	134
gene-SAOUHSC_00406	1670	1023	1335	1827	2040	304
gene-SAOUHSC_00407	598	384	508	604	947	65
gene-SAOUHSC_00408	658	428	515	627	852	120
gene-SAOUHSC_00409	954	430	772	280	456	25
gene-SAOUHSC_00410	6395	4708	4391	451	661	106
gene-SAOUHSC_00411	75	70	41	13	17	2
